"Date","Manufacturer","CapacityMB","TotalPriceUSD","Kind","ppMB"
2013-11-10,"Seagate",3e+06,119.99,"HDD",0.0409565866666667
2013-11-10,"Other",131072,70.98,"Flash Drive",0.55453125
2013-11-10,"ADATA",262144,159.99,"SSD",0.6249609375
2013-12-23,"Seagate",3e+06,119.99,"HDD",0.0409565866666667
2013-12-23,"ADATA",16384,8.98,"Flash Drive",0.56125
2013-12-23,"Other",245760,150.98,"SSD",0.629083333333333
2014-02-08,"Toshiba",3e+06,109.99,"HDD",0.0375432533333333
2014-02-08,"Transcend",32768,14.98,"Flash Drive",0.468125
2014-02-08,"Other",245760,140.98,"SSD",0.587416666666667
2014-03-13,"Seagate",3e+06,109.99,"HDD",0.0375432533333333
2014-03-13,"Other",65536,30.98,"Flash Drive",0.4840625
2014-03-13,"Other",245760,120.98,"SSD",0.504083333333333
2014-04-10,"Seagate",3e+06,109.99,"HDD",0.0375432533333333
2014-04-10,"Other",32768,11.99,"Flash Drive",0.3746875
2014-04-10,"Other",491520,239.99,"SSD",0.499979166666667
2014-06-19,"Seagate",3e+06,104.99,"HDD",0.0358365866666667
2014-06-19,"PNY",131072,50.98,"Flash Drive",0.39828125
2014-06-19,"Other",262144,109.98,"SSD",0.429609375
2014-08-02,"Western Digital",3e+06,104.99,"HDD",0.0358365866666667
2014-08-02,"ADATA",32768,10.98,"Flash Drive",0.343125
2014-08-02,"Other",245760,99.99,"SSD",0.416625
2014-09-13,"Seagate",3e+06,104.99,"HDD",0.0358365866666667
2014-09-13,"Other",65536,22.58,"Flash Drive",0.3528125
2014-09-13,"Other",491520,179.99,"SSD",0.374979166666667
2014-11-11,"Seagate",4e+06,144.99,"HDD",0.03711744
2014-11-11,"Other",65536,21.95,"Flash Drive",0.34296875
2014-11-11,"ADATA",262144,99.99,"SSD",0.3905859375
2015-01-22,"Toshiba",3e+06,99.99,"HDD",0.03412992
2015-01-22,"ADATA",65536,25.98,"Flash Drive",0.4059375
2015-01-22,"SanDisk",983040,369.99,"SSD",0.38540625
2015-02-15,"Toshiba",3e+06,97.99,"HDD",0.0334472533333333
2015-02-15,"ADATA",65536,25.98,"Flash Drive",0.4059375
2015-02-15,"PNY",245760,89.99,"SSD",0.374958333333333
2015-04-11,"Seagate",3e+06,84.99,"HDD",0.02900992
2015-04-11,"PNY",131072,47.98,"Flash Drive",0.37484375
2015-04-11,"PNY",491520,169.99,"SSD",0.354145833333333
2015-05-15,"Toshiba",3e+06,94.99,"HDD",0.0324232533333333
2015-05-15,"PNY",131072,35.98,"Flash Drive",0.28109375
2015-05-15,"Other",245760,82.99,"SSD",0.345791666666667
2015-07-10,"Seagate",3e+06,89.99,"HDD",0.0307165866666667
2015-07-10,"Other",65536,9.49,"Flash Drive",0.14828125
2015-07-10,"ADATA",262144,84.99,"SSD",0.3319921875
2015-08-23,"Toshiba",5e+06,149.99,"HDD",0.030717952
2015-08-23,"SanDisk",131072,30.98,"Flash Drive",0.24203125
2015-08-23,"PNY",491520,149.99,"SSD",0.312479166666667
2015-09-22,"Seagate",3e+06,89.99,"HDD",0.0307165866666667
2015-09-22,"Other",65536,17.98,"Flash Drive",0.2809375
2015-09-22,"Other",245760,69.99,"SSD",0.291625
2015-10-24,"Seagate",3e+06,89.99,"HDD",0.0307165866666667
2015-10-24,"ADATA",131072,29.98,"Flash Drive",0.23421875
2015-10-24,"Other",245760,70.98,"SSD",0.29575
2015-11-21,"Western Digital",4e+06,129.99,"HDD",0.03327744
2015-11-21,"Other",131072,28.98,"Flash Drive",0.22640625
2015-11-21,"Other",245760,64.99,"SSD",0.270791666666667
2015-12-18,"Seagate",3e+06,84.99,"HDD",0.02900992
2015-12-18,"ADATA",131072,27.99,"Flash Drive",0.218671875
2015-12-18,"ADATA",245760,59.99,"SSD",0.249958333333333
2016-02-14,"Seagate",4e+06,124.99,"HDD",0.03199744
2016-02-14,"Other",65536,14.93,"Flash Drive",0.23328125
2016-02-14,"PNY",245760,59,"SSD",0.245833333333333
2016-04-11,"Seagate",8e+06,221.63,"HDD",0.02836864
2016-04-11,"ADATA",131072,27.99,"Flash Drive",0.218671875
2016-04-11,"Other",491520,102.99,"SSD",0.2145625
2016-05-18,"Seagate",4e+06,119.95,"HDD",0.0307072
2016-05-18,"SanDisk",131072,27.99,"Flash Drive",0.218671875
2016-05-18,"Other",983040,210.98,"SSD",0.219770833333333
2016-06-20,"Seagate",3e+06,84.99,"HDD",0.02900992
2016-06-20,"PNY",131072,24.99,"Flash Drive",0.195234375
2016-06-20,"ADATA",983040,194.99,"SSD",0.203114583333333
2016-07-22,"Seagate",4e+06,124.99,"HDD",0.03199744
2016-07-22,"SanDisk",131072,25.99,"Flash Drive",0.203046875
2016-07-22,"Other",491520,99.99,"SSD",0.2083125
2016-08-22,"Seagate",4e+06,119.95,"HDD",0.0307072
2016-08-22,"SanDisk",131072,25.99,"Flash Drive",0.203046875
2016-08-22,"Other",491520,99.99,"SSD",0.2083125
2016-10-15,"Toshiba",3e+06,87.96,"HDD",0.03002368
2016-10-15,"PNY",131072,19.99,"Flash Drive",0.156171875
2016-10-15,"PNY",983040,219.99,"SSD",0.22915625
2016-11-15,"Western Digital",3e+06,94.99,"HDD",0.0324232533333333
2016-11-15,"PNY",262144,47.99,"Flash Drive",0.1874609375
2016-11-15,"ADATA",983040,224.99,"SSD",0.234364583333333
2016-12-21,"Toshiba",3e+06,88.99,"HDD",0.0303752533333333
2016-12-21,"SanDisk",131072,20.98,"Flash Drive",0.16390625
2016-12-21,"Other",491520,109.99,"SSD",0.229145833333333
2017-01-15,"Toshiba",3e+06,86.99,"HDD",0.0296925866666667
2017-01-15,"SanDisk",131072,23.98,"Flash Drive",0.18734375
2017-01-15,"Toshiba",491520,119.99,"SSD",0.249979166666667
